preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
CC1=C[C@@H]2c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O[C@]3(c4ccc(O)cc4O)Oc4cc(O)ccc4[C@@H](C1)C23,CHEMBL454705,5.12,inactive
O=S(=O)(NCc1cccc(CNS(=O)(=O)c2ccc(F)cc2)c1)c1ccc(F)cc1,CHEMBL4536389,5.66,inactive
Oc1ccc(-c2csc(-c3ncccn3)n2)cc1,CHEMBL4227126,5.24,inactive
O=C1CC(c2cccc(O)c2)Oc2cc(O)ccc21,CHEMBL255110,5.47,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1CC(C)C,CHEMBL1915152,4.19,inactive
COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(Br)cc3)oc2c1,CHEMBL209047,5.39,inactive
COc1cc2c(C)cc(=O)n(C)c2c(OC)c1OC,CHEMBL492382,5.57,inactive
C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,CHEMBL110524,5.25,inactive
Oc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,CHEMBL446706,5.84,inactive
CCCCCCCCC1C[C@@](CC)(c2ccncc2)C(=O)NC1=O,CHEMBL2111801,5.52,inactive
C[C@H](O)C/C=C/CCCCC1Cc2cc(O)cc(O)c2C(=O)O1,CHEMBL3799189,4.91,inactive
c1cnc(-c2nc(-c3cc4ccccc4o3)cs2)nc1,CHEMBL4228819,5.48,inactive
Cc1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,CHEMBL387386,5.76,inactive
Clc1ccc(-c2nc(-c3cccnc3)cs2)cc1,CHEMBL1957211,5.62,inactive
Cc1ccc(O)c(-c2csc(-c3ncccn3)n2)c1,CHEMBL4228236,5.45,inactive
CC(C)C1=C2CC(=O)CCC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL24387,5.96,inactive
Cc1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824766,4.57,inactive
CCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,CHEMBL89102,5.6,inactive
COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O,CHEMBL328217,5.05,inactive
COc1ccc(-c2c(-n3ccnc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1,CHEMBL189274,5.33,inactive
CC1=C2CC(=O)CCC(C)(O2)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,CHEMBL574960,5.01,inactive
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL451532,5.3,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(OCC(N)=O)cc1)c1ccccc1,CHEMBL2386286,5.03,inactive
CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O,CHEMBL83835,5.92,inactive
CCS(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL3913908,5.8,inactive
CC(C)S(=O)(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL3894912,5.92,inactive
COc1ccc2c(c1)C(=O)C(c1cccnc1)CO2,CHEMBL3105526,5.6,inactive
O=C(Cn1ccnc1)c1ccc(OCc2cccc([N+](=O)[O-])c2)cc1,CHEMBL3359962,5.43,inactive
O=C(Cn1ccnc1)c1cccc(OCc2ccccc2)c1,CHEMBL3359959,4.76,inactive
CC(C)c1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,CHEMBL223421,5.13,inactive
CCOc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL2333330,5.71,inactive
O=c1c(-c2ccccc2)c(SCc2cccnc2)oc2cc(O)ccc12,CHEMBL364326,5.44,inactive
Brc1cccc(-c2nc(-c3cccnc3)ns2)c1,CHEMBL1957208,5.17,inactive
Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1O,CHEMBL1172779,5.61,inactive
COc1ccc2c(=O)c(-c3ccc(C)cc3)c(SCc3ccncc3)oc2c1,CHEMBL184051,5.52,inactive
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL328863,4.42,inactive
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL132530,4.23,inactive
C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,CHEMBL193555,5.39,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2ccc3cc(O)ccc3c2)cc1,CHEMBL1172842,4.31,inactive
CC12CCCC=C1CC(=O)C1C2CCC2(C)C(O)CCC12,CHEMBL302249,4.38,inactive
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC=CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL2058267,5.76,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(O)c2)cc1,CHEMBL1172847,5.02,inactive
COc1ccc2c(OCCn3ccnc3)cc(=O)oc2c1,CHEMBL375497,4.0,inactive
