preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL349704,7.92,active
C=C1C[C@H]2[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]2[C@]2(C)C1=CC(=O)C1O[C@@H]12,CHEMBL3407537,6.09,active
CC12CCC3C(Cc4c5c(nn4Cc4ccc([N+](=O)[O-])cc4)C(=O)CCC53C)C1CCC2=O,CHEMBL129883,6.31,active
N#Cc1ccc(Cn2ccnc2)c2oc3ccccc3c(=O)c12,CHEMBL421149,7.37,active
CN(c1ccc([N+](=O)[O-])cc1OCc1ccc([N+](=O)[O-])cc1)S(C)(=O)=O,CHEMBL376303,6.31,active
CN(c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL271794,6.92,active
CN(c1ccc([N+](=O)[O-])cc1OCCc1ccccc1)S(C)(=O)=O,CHEMBL436515,6.28,active
N#Cc1ccc(S(=O)(=O)NCc2ccc(CNS(=O)(=O)c3ccc(C#N)cc3)cc2)cc1,CHEMBL4527809,6.18,active
Oc1ccccc1-c1csc(-c2ncccn2)n1,CHEMBL4227385,9.38,active
N#Cc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1,CHEMBL3806046,7.44,active
Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,CHEMBL27467,7.16,active
COc1ccc(-c2[nH]c3cc(F)ccc3c2Cn2ccnc2)cc1,CHEMBL4163704,7.44,active
O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,CHEMBL225499,6.82,active
O=c1cc(Cn2ccnc2)c2ccc(Oc3cc(F)cc(F)c3)cc2o1,CHEMBL1688910,7.16,active
C=CC[C@@H]1CC2=CCCC[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@@H]21,CHEMBL3818338,6.12,active
O=c1cc(C(c2ccccc2)n2ccnc2)c2ccc(Oc3ccccc3)cc2o1,CHEMBL1688915,7.17,active
Fc1ccc(-c2[nH]c3cc4c(cc3c2Cn2ccnc2)OCO4)cc1,CHEMBL4161789,6.68,active
Clc1ccc(-c2[nH]c3cc(Cl)ccc3c2Cn2ccnc2)cc1,CHEMBL4164126,6.58,active
CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,CHEMBL353571,6.24,active
Nc1ccc(C2(C3CCCCC3)CCC(=O)NC2=O)cc1,CHEMBL70901,6.52,active
N#Cc1ccc(N(Cc2ccc(O)c(C#N)c2)n2cnnc2)cc1,CHEMBL226841,7.62,active
N#Cc1ccc(C(c2ccc(OS(N)(=O)=O)c(Cl)c2)n2cncn2)cc1,CHEMBL479551,7.92,active
O=c1c2ccccc2oc2c(Br)ccc(Cn3ccnc3)c12,CHEMBL78322,6.03,active
CC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc(N)cc1,CHEMBL3916057,6.75,active
