preprocessedSmiles,Molecule ChEMBL ID,activity_classification
Clc1ccc(-c2nc(-c3cccnc3)cs2)cc1,CHEMBL1957211,inactive
Cc1ccc(O)c(-c2csc(-c3ncccn3)n2)c1,CHEMBL4228236,inactive
CC(C)C1=C2CC(=O)CCC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL24387,inactive
Cc1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824766,inactive
CCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL89102,inactive
COc1ccc2c(c1)CCC(=Cc1ccncc1)C2=O,CHEMBL328217,inactive
COc1ccc(-c2c(-n3ccnc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1,CHEMBL189274,inactive
CC1=C2CC(=O)CCC(C)(O2)C2CCC3(C)C(=O)CCC3C12,CHEMBL574960,inactive
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,CHEMBL451532,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(OCC(N)=O)cc1)c1ccccc1,CHEMBL2386286,inactive
CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O,CHEMBL83835,inactive
CCS(=O)(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL3913908,inactive
CC(C)S(=O)(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL3894912,inactive
COc1ccc2c(c1)C(=O)C(c1cccnc1)CO2,CHEMBL3105526,inactive
O=C(Cn1ccnc1)c1ccc(OCc2cccc([N+](=O)[O-])c2)cc1,CHEMBL3359962,inactive
O=C(Cn1ccnc1)c1cccc(OCc2ccccc2)c1,CHEMBL3359959,inactive
CC(C)c1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,CHEMBL223421,inactive
CCOc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL2333330,inactive
O=c1c(-c2ccccc2)c(SCc2cccnc2)oc2cc(O)ccc12,CHEMBL364326,inactive
Brc1cccc(-c2nc(-c3cccnc3)ns2)c1,CHEMBL1957208,inactive
Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1O,CHEMBL1172779,inactive
COc1ccc2c(=O)c(-c3ccc(C)cc3)c(SCc3ccncc3)oc2c1,CHEMBL184051,inactive
C(=C1CC(c2ccccc2)c2ccccc21)c1cccnc1,CHEMBL193555,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2ccc3cc(O)ccc3c2)cc1,CHEMBL1172842,inactive
CC12CCCC=C1CC(=O)C1C2CCC2(C)C(O)CCC12,CHEMBL302249,inactive
CC12CCC3C(CCC4CC=CCC43C)C1CCC2=O,CHEMBL2058267,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(O)c2)cc1,CHEMBL1172847,inactive
COc1ccc2c(OCCn3ccnc3)cc(=O)oc2c1,CHEMBL375497,inactive
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1C=CC(C)C,CHEMBL323197,inactive
CC12CCC3C(C(=O)C=C4C=CCCC43CO)C1CCC2=O,CHEMBL302530,inactive
CC(c1ccncc1)c1cc2c3c(c1)CCN3C(=O)CC2,CHEMBL2312950,inactive
CC(C)=CCc1c(O)c2c(O)c3c(C=CC(C)C)c(O)c(=O)c(=CCC(C)C)c3oc2cc1=O,CHEMBL454580,inactive
COc1ccc2c(c1)CCC(Cc1c[nH]cn1)=C2C,CHEMBL448463,inactive
O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2,CHEMBL135037,inactive
CC(C)=CCc1c(O)ccc2c1OC(c1ccc(O)cc1O)CC2=O,CHEMBL457686,inactive
O=C1c2c(ccc3ccccc23)OCC1c1ccccc1,CHEMBL2011176,inactive
COc1ccc2c(c1)CC(=Cc1ccncc1)C2=O,CHEMBL285155,inactive
COc1ccc(-c2cnnn2Cc2ccco2)cc1,CHEMBL495563,inactive
CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(F)cc1)S(C)(=O)=O,CHEMBL376649,inactive
O=[N+]([O-])c1cccc(Cc2nncc3ccccc23)c1,CHEMBL495574,inactive
N#Cc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1,CHEMBL1825032,inactive
Cc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,CHEMBL272464,inactive
CCOc1ccc(-c2csc(-c3ccncc3)n2)cn1,CHEMBL1957222,inactive
CCC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL28668,inactive
Clc1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,CHEMBL1825044,inactive
Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)c(Cl)c1,CHEMBL490194,inactive
O=[N+]([O-])c1ccccc1S(=O)(=O)NCCc1c(C(c2ccccc2O)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccccc2[N+](=O)[O-])[nH]c2ccccc12,CHEMBL4166364,inactive
c1ccc(C2(n3cncn3)c3ccccc3-c3ccccc32)cc1,CHEMBL376371,inactive
Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL491013,inactive
Clc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,CHEMBL294357,inactive
Fc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL489189,inactive
CN(c1ccc(NC(=O)c2ccccc2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL443066,inactive
CN(c1ccc(N)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL272398,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1,CHEMBL223161,inactive
CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL202452,inactive
N#Cc1ccc(Cn2cc(C3CCCCC3)nn2)cc1,CHEMBL1825029,inactive
c1ccc(Cn2cc(COc3ccccc3)nn2)cc1,CHEMBL272339,inactive
CCCCCCc1cn(Cc2ccc(C#N)cc2)nn1,CHEMBL1825026,inactive
CCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824743,inactive
N=C(N)NS(=O)(=O)c1ccc(N=CCC(=O)c2ccc3c(c2)Nc2ccccc2S3)cc1,CHEMBL4077259,inactive
CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL202470,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,CHEMBL223108,inactive
CC(=O)Oc1cc(C=Cc2ccc(N)cc2)cc(OC(C)=O)c1,CHEMBL1172400,inactive
CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O,CHEMBL440691,inactive
O=c1ccoc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,CHEMBL351167,inactive
N#Cc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL442373,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc2c(c1)Nc1ccccc1S2,CHEMBL4060208,inactive
CC12CCC3C(C(=O)C=C4CCCCC43C)C1CCC2=O,CHEMBL70367,inactive
Cc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL489187,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1C(=O)NC(C)C,CHEMBL1915167,inactive
C(=Cc1ccccc1)CCN(Cc1cccc2ccccc12)n1cncn1,CHEMBL491010,inactive
CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL29339,inactive
Cc1ccccc1-c1cc2cc([N+](=O)[O-])ccc2[nH]1,CHEMBL4212655,inactive
CCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824742,inactive
c1ccc(Cn2cc(COc3ccc(-c4ccccc4)cc3)nn2)cc1,CHEMBL1825049,inactive
CC12CCC3C(CCC4C(=O)C(=O)CCC43C)C1CCC(=O)O2,CHEMBL197451,inactive
COc1ccc(C=Cc2ccc(N)cc2)c(OC)c1OC,CHEMBL1173067,inactive
C(=C(c1ccccc1)c1ccccc1)c1cccnc1,CHEMBL370317,inactive
CSCSC1=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CCC1=O,CHEMBL39434,inactive
N#Cc1cccc(C2CC(=O)c3ccc4ccccc4c3O2)c1,CHEMBL258257,inactive
N#Cc1ccc(Cn2cc(COc3ccc(C#N)cc3)nn2)cc1,CHEMBL1825033,inactive
COc1ccc2c(c1)OC(c1ccccc1)CC2=O,CHEMBL9687,inactive
O=C(Cn1ccnc1)c1ccc(OCc2cccc(OC(F)(F)F)c2)cc1,CHEMBL3359961,inactive
COc1c(C)c(OC)c2c(c1C)OC(c1ccccc1)CC2O,CHEMBL3134111,inactive
COc1ccc2c(c1)CCCC2=Cc1cccnc1,CHEMBL362441,inactive
Cc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL490187,inactive
Cc1ccccc1CN(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL490795,inactive
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL164,inactive
COC(=O)c1ccc(N=Cc2cc(O)c3ccccc3c2O)cc1,CHEMBL1991089,inactive
COC1CCCC2(CO)C1=CCC1C3CCC(=O)C3(C)CCC12,CHEMBL1630275,inactive
Oc1cccc(C(c2cccc(O)c2)n2cncn2)c1,CHEMBL455832,inactive
CC12CCC3C(CCC4C(=O)CCCC43C)C1CCC2=O,CHEMBL1630279,inactive
CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)C(=Cc3cccc(OCCCn4ccnc4)c3)CC12,CHEMBL2282053,inactive
CCC(CC)(C(=O)OC1CC2CC(C1C)C2(C)C)c1ccncc1,CHEMBL132380,inactive
O=S(=O)(NCCc1c(C(c2ccc(F)cc2)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(C(F)(F)F)cc2)[nH]c2ccccc12)c1ccc(C(F)(F)F)cc1,CHEMBL4167098,inactive
CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL38439,inactive
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,CHEMBL460026,inactive
O=C1c2ccccc2OCC1c1ccc(Oc2ccccc2)cc1,CHEMBL2011177,inactive
CCCCCCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824745,inactive
Cc1cc(O)c2c(c1-c1ccc3c(c1O)C(=O)CC(C)(C1OC(=O)CC1C)O3)OC(C)(C1OC(=O)CC1O)CC2=O,CHEMBL586557,inactive
Clc1ccccc1-c1csc(-c2ncccn2)n1,CHEMBL4229012,inactive
Clc1ccc(-c2[nH]c3cc4c(cc3c2Cn2ccnc2)OCO4)cc1,CHEMBL4172433,inactive
O=c1c(Cc2ccncc2)coc2cc(F)ccc12,CHEMBL3793091,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1)c1cc2ccccc2oc1=O,CHEMBL3941042,inactive
CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O,CHEMBL496634,inactive
Oc1ccc(Cl)cc1-c1csc(-c2ncccn2)n1,CHEMBL4228495,inactive
O=S(=O)(NCCc1c(C(c2ccccc2O)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)cc1,CHEMBL4169784,inactive
